id,customer_id,order_date,total_amount,status
58,25,2025-01-31,1684,Cancelled
59,30,2025-02-12,1671,Cancelled
60,41,2025-01-29,413,Cancelled
61,48,2025-01-20,1965,Pending
62,77,2025-01-03,1540,Pending
63,67,2025-01-21,1787,Cancelled
64,66,2025-01-30,1720,Completed
65,57,2025-02-10,81,Cancelled
66,6,2025-01-18,87,Pending
67,38,2025-02-18,1169,Completed
68,61,2025-02-03,1703,Completed
69,48,2025-02-01,1947,Cancelled
70,89,2025-02-03,709,Cancelled
71,80,2025-02-05,1565,Cancelled
72,5,2025-01-31,193,Completed
73,57,2025-02-12,602,Completed
74,79,2025-01-12,748,Pending
75,28,2025-02-18,357,Pending
76,81,2025-02-07,924,Cancelled
77,31,2025-01-25,1766,Pending
78,91,2025-01-07,149,Completed
79,91,2025-02-02,970,Pending
80,51,2025-01-07,735,Cancelled
81,73,2025-02-10,689,Completed
82,55,2025-02-03,169,Cancelled
83,78,2025-01-21,217,Cancelled
84,34,2025-02-04,454,Pending
85,88,2025-01-23,1368,Pending
86,61,2025-01-27,1137,Pending
87,23,2025-02-18,380,Completed
88,13,2025-01-15,1820,Pending
89,80,2025-02-06,1002,Pending
90,14,2025-01-21,333,Pending
91,51,2025-01-22,1337,Completed
92,32,2025-01-29,1026,Cancelled
93,24,2025-01-08,1435,Completed
94,81,2025-01-25,1910,Cancelled
95,68,2025-01-18,1252,Pending
96,72,2025-02-15,1066,Pending
97,53,2025-01-20,907,Cancelled
98,43,2025-01-29,1081,Cancelled
99,9,2025-02-10,132,Pending
100,65,2025-01-20,1370,Cancelled
101,91,2025-01-09,1243,Pending
102,14,2025-01-18,1442,Completed
103,58,2025-01-04,1796,Cancelled
104,5,2025-01-28,1141,Completed
105,49,2025-01-25,1397,Cancelled
106,40,2025-01-27,1022,Cancelled
107,25,2025-02-12,1882,Cancelled
108,100,2025-01-20,1883,Completed
109,31,2025-02-17,570,Cancelled
110,7,2025-01-01,566,Cancelled
111,7,2025-01-27,369,Completed
112,52,2025-01-27,190,Completed
113,81,2025-02-10,341,Completed
114,6,2025-01-20,1507,Cancelled
115,95,2025-02-10,1702,Cancelled
116,58,2025-01-12,1968,Pending
117,41,2025-02-08,1854,Completed
118,28,2025-02-11,616,Pending
119,74,2025-01-23,1712,Cancelled
120,74,2025-01-15,1984,Completed
121,65,2025-02-13,240,Completed
122,51,2025-02-17,945,Pending
123,33,2025-02-02,214,Pending
124,31,2025-01-02,678,Cancelled
125,63,2025-02-05,1225,Pending
126,21,2025-02-01,618,Completed
127,38,2025-01-03,1716,Cancelled
128,18,2025-02-17,1631,Cancelled
129,25,2025-02-03,1686,Cancelled
130,45,2025-01-26,1197,Cancelled
131,77,2025-01-16,1798,Cancelled
132,84,2025-01-07,746,Pending
133,19,2025-02-10,1853,Pending
134,37,2025-01-25,323,Cancelled
135,43,2025-01-07,1923,Cancelled
136,71,2025-02-14,989,Pending
137,15,2025-02-17,1232,Cancelled
138,6,2025-01-26,1894,Completed
139,3,2025-01-30,1841,Pending
140,98,2025-01-04,270,Pending
141,26,2025-02-02,1326,Completed
142,79,2025-02-07,965,Completed
143,82,2025-02-20,651,Completed
144,20,2025-01-08,1204,Pending
145,60,2025-01-27,1507,Pending
146,89,2025-01-14,1068,Cancelled
147,41,2025-02-08,1820,Pending
148,69,2025-01-03,467,Completed
149,54,2025-01-28,250,Pending
150,57,2025-02-01,1613,Pending
151,80,2025-01-11,72,Cancelled
152,44,2025-01-21,122,Cancelled
153,94,2025-01-04,1044,Pending
154,79,2025-02-16,1271,Pending
155,54,2025-02-16,958,Cancelled
156,5,2025-01-05,1586,Pending
157,36,2025-01-13,1038,Pending
158,80,2025-01-03,1188,Pending
159,2,2025-02-07,1858,Pending
160,40,2025-01-26,1486,Pending
161,21,2025-02-20,1405,Pending
162,38,2025-01-23,250,Completed
163,64,2025-02-14,972,Completed
164,40,2025-02-14,960,Cancelled
165,18,2025-01-05,256,Pending
166,99,2025-02-20,688,Completed
167,56,2025-01-21,955,Completed
168,4,2025-01-20,1269,Cancelled
169,99,2025-02-15,284,Pending
170,8,2025-02-20,915,Completed
171,29,2025-02-08,751,Cancelled
172,54,2025-02-05,767,Cancelled
173,62,2025-02-07,216,Pending
174,100,2025-01-25,1484,Pending
175,71,2025-02-05,668,Completed
176,92,2025-01-16,1719,Pending
177,54,2025-01-03,1493,Pending
178,59,2025-01-07,434,Cancelled
179,48,2025-02-17,920,Pending
180,54,2025-01-11,877,Completed
181,18,2025-01-10,1374,Cancelled
182,95,2025-01-23,155,Pending
183,54,2025-02-20,669,Completed
184,47,2025-02-09,100,Completed
185,46,2025-02-09,493,Cancelled
186,20,2025-01-05,311,Cancelled
187,54,2025-02-09,230,Completed
188,52,2025-02-20,1741,Completed
189,85,2025-01-30,1268,Pending
190,98,2025-02-07,430,Completed
191,100,2025-02-05,1943,Pending
192,76,2025-02-01,1089,Completed
193,88,2025-01-12,124,Cancelled
194,80,2025-02-08,817,Completed
195,61,2025-01-24,949,Cancelled
196,65,2025-01-01,660,Pending
197,20,2025-02-08,1248,Pending
198,22,2025-02-06,893,Pending
199,89,2025-01-02,1010,Pending
200,78,2025-02-06,1395,Completed
201,58,2025-01-08,549,Cancelled
202,90,2025-01-14,1071,Pending
203,8,2025-01-12,1027,Cancelled
204,23,2025-01-26,1270,Cancelled
205,78,2025-02-18,1375,Pending
206,4,2025-02-10,1089,Cancelled
207,14,2025-02-10,397,Cancelled
208,79,2025-01-19,595,Cancelled
209,16,2025-02-20,1415,Pending
210,73,2025-01-19,1228,Pending
211,97,2025-01-22,276,Completed
212,12,2025-01-06,1553,Pending
213,41,2025-01-01,1725,Pending
214,68,2025-01-24,1682,Pending
215,49,2025-01-07,1444,Completed
216,45,2025-02-05,1130,Pending
217,50,2025-01-06,1862,Pending
218,33,2025-01-23,1243,Pending
219,57,2025-01-02,918,Completed
220,96,2025-01-06,505,Completed
221,52,2025-02-04,253,Pending
222,61,2025-01-20,1112,Pending
223,84,2025-02-09,1526,Completed
244,95,2025-01-30,507,Completed
255,7,2025-01-11,1730,Cancelled
226,10,2025-02-12,994,Pending
227,14,2025-02-05,54,Cancelled
228,39,2025-02-09,322,Cancelled
229,83,2025-02-19,108,Cancelled
230,12,2025-01-31,1068,Cancelled
231,49,2025-02-15,705,Pending
232,28,2025-02-16,1569,Completed
233,48,2025-01-20,365,Cancelled
234,41,2025-01-12,855,Pending
235,59,2025-02-20,1299,Completed
236,67,2025-01-18,1908,Completed
237,86,2025-01-01,1034,Pending
238,90,2025-01-22,1204,Completed
239,26,2025-02-17,1152,Cancelled
240,26,2025-01-15,216,Pending
241,41,2025-01-03,237,Pending
242,27,2025-01-19,1040,Cancelled
243,55,2025-02-03,732,Cancelled
244,89,2025-02-13,1873,Completed
245,6,2025-01-17,1267,Pending
246,49,2025-01-24,1722,Cancelled
247,59,2025-01-05,1055,Cancelled
248,36,2025-02-16,869,Cancelled
249,11,2025-01-27,404,Pending
250,53,2025-01-29,1956,Pending
251,59,2025-01-01,1763,Completed
252,58,2025-01-11,1199,Cancelled
253,32,2025-02-12,1354,Cancelled
254,86,2025-02-12,773,Pending
255,69,2025-01-09,477,Completed
256,17,2025-01-24,1568,Pending
257,73,2025-01-06,511,Pending
258,30,2025-01-26,713,Cancelled
259,80,2025-01-14,172,Completed
260,39,2025-01-05,1860,Pending
261,23,2025-02-19,1443,Pending
262,46,2025-01-01,1185,Completed
263,43,2025-01-11,225,Pending
264,11,2025-01-04,693,Pending
265,51,2025-02-10,1570,Pending
266,14,2025-02-01,1238,Pending
267,87,2025-02-04,256,Completed
268,38,2025-02-07,1990,Completed
269,62,2025-01-19,1815,Pending
270,18,2025-01-12,1938,Completed
271,13,2025-01-15,1811,Cancelled
272,47,2025-01-25,1458,Completed
273,97,2025-01-01,1517,Cancelled
274,32,2025-01-25,478,Completed
275,80,2025-01-20,1632,Pending
276,93,2025-01-06,581,Pending
2077,51,2025-02-04,1227,Cancelled
278,77,2025-02-19,1244,Completed
279,27,2025-01-19,1650,Pending
280,27,2025-02-13,1244,Completed
281,7,2025-01-19,829,Cancelled
282,15,2025-01-31,1867,Cancelled
283,87,2025-02-15,1053,Pending
284,21,2025-01-10,480,Pending
285,45,2025-01-08,578,Cancelled
286,48,2025-02-06,1302,Pending
287,31,2025-01-20,763,Cancelled
288,44,2025-01-30,276,Completed
289,63,2025-01-25,912,Completed
290,37,2025-01-06,1736,Pending
291,57,2025-01-07,1592,Cancelled
292,87,2025-01-30,921,Completed
293,100,2025-02-17,322,Cancelled
294,66,2025-02-13,1864,Cancelled
295,63,2025-01-11,1702,Cancelled
296,79,2025-01-17,432,Cancelled
297,11,2025-01-26,1406,Cancelled
298,82,2025-02-15,1410,Cancelled
299,20,2025-02-02,1861,Completed
300,64,2025-01-10,320,Completed
